iter	Passed	Remaining
0	162	162254
1	166	83037
2	169	56493
3	174	43345
4	178	35426
5	181	30148
6	185	26344
7	190	23596
8	194	21377
9	197	19599
10	201	18135
11	206	16982
12	210	16011
13	215	15179
14	220	14449
15	224	13780
16	227	13178
17	232	12664
18	237	12241
19	241	11826
20	245	11428
21	249	11084
22	253	10784
23	258	10497
24	262	10235
25	266	9989
26	270	9749
27	274	9526
28	278	9313
29	281	9116
30	285	8929
31	289	8754
32	293	8600
33	297	8449
34	301	8312
35	305	8177
36	309	8047
37	312	7920
38	317	7820
39	321	7711
40	326	7625
41	330	7531
42	334	7436
43	338	7344
44	341	7257
45	345	7174
46	349	7096
47	353	7017
48	357	6940
49	361	6875
50	365	6808
51	369	6744
52	373	6677
53	377	6612
54	381	6549
55	385	6497
56	389	6445
57	393	6391
58	397	6344
59	401	6297
60	405	6248
61	409	6196
62	413	6155
63	418	6120
64	422	6076
65	426	6030
66	430	5990
67	433	5948
68	437	5906
69	441	5868
70	445	5835
71	450	5802
72	455	5781
73	459	5745
74	462	5710
75	466	5674
76	470	5643
77	475	5619
78	479	5590
79	483	5559
80	487	5528
81	491	5506
82	495	5476
83	499	5448
84	503	5420
85	508	5400
86	511	5371
87	515	5343
88	519	5315
89	522	5287
90	526	5260
91	530	5233
92	533	5207
93	538	5191
94	542	5171
95	546	5147
96	551	5132
97	555	5111
98	558	5087
99	562	5064
100	567	5047
101	571	5028
102	574	5006
103	578	4984
104	582	4966
105	586	4947
106	590	4929
107	595	4916
108	599	4900
109	603	4880
110	606	4860
111	611	4845
112	615	4827
113	618	4810
114	622	4792
115	627	4779
116	631	4763
117	635	4747
118	639	4732
119	643	4719
120	647	4705
121	651	4688
122	655	4673
123	660	4664
124	664	4648
125	667	4632
126	671	4617
127	675	4602
128	679	4586
129	682	4570
130	686	4556
131	691	4543
132	694	4528
133	698	4513
134	702	4499
135	706	4485
136	709	4471
137	713	4457
138	717	4445
139	722	4436
140	726	4423
141	729	4409
142	734	4399
143	737	4385
144	741	4372
145	745	4358
146	749	4347
147	753	4335
148	756	4321
149	760	4308
150	764	4295
151	767	4282
152	771	4269
153	775	4261
154	779	4250
155	783	4239
156	787	4227
157	791	4215
158	794	4203
159	798	4191
160	802	4179
161	806	4172
162	811	4168
163	816	4161
164	820	4152
165	824	4143
166	828	4133
167	832	4122
168	836	4111
169	840	4103
170	844	4094
171	848	4084
172	852	4075
173	857	4068
174	861	4059
175	864	4048
176	868	4039
177	872	4030
178	876	4020
179	880	4010
180	884	4000
181	887	3990
182	891	3980
183	895	3969
184	900	3965
185	903	3955
186	907	3945
187	911	3936
188	914	3926
189	918	3916
190	922	3907
191	926	3898
192	930	3890
193	934	3882
194	938	3872
195	941	3862
196	946	3858
197	950	3851
198	954	3841
199	958	3833
200	962	3825
201	966	3816
202	969	3807
203	973	3798
204	977	3791
205	982	3785
206	986	3778
207	990	3771
208	994	3762
209	997	3753
210	1001	3745
211	1005	3736
212	1009	3731
213	1013	3723
214	1017	3714
215	1021	3706
216	1024	3697
217	1028	3689
218	1032	3682
219	1036	3676
220	1040	3669
221	1045	3662
222	1049	3655
223	1053	3648
224	1056	3640
225	1060	3632
226	1064	3624
227	1068	3616
228	1071	3608
229	1075	3601
230	1079	3595
231	1083	3587
232	1087	3579
233	1091	3571
234	1094	3563
235	1098	3556
236	1102	3548
237	1105	3540
238	1109	3533
239	1113	3526
240	1117	3519
241	1121	3511
242	1124	3503
243	1129	3498
244	1133	3491
245	1136	3484
246	1140	3477
247	1144	3470
248	1148	3462
249	1151	3455
250	1155	3447
251	1158	3440
252	1162	3432
253	1166	3425
254	1170	3418
255	1174	3412
256	1177	3405
257	1181	3398
258	1185	3391
259	1189	3384
260	1192	3377
261	1196	3369
262	1200	3362
263	1204	3356
264	1207	3349
265	1211	3342
266	1215	3335
267	1219	3330
268	1223	3324
269	1227	3317
270	1231	3311
271	1234	3305
272	1238	3299
273	1242	3292
274	1246	3285
275	1249	3278
276	1253	3272
277	1257	3265
278	1260	3258
279	1263	3249
280	1267	3242
281	1271	3237
282	1275	3230
283	1278	3224
284	1282	3217
285	1286	3211
286	1290	3204
287	1294	3200
288	1298	3193
289	1301	3187
290	1305	3181
291	1309	3174
292	1313	3168
293	1317	3162
294	1321	3157
295	1325	3151
296	1328	3145
297	1332	3139
298	1336	3132
299	1339	3126
300	1343	3120
301	1347	3114
302	1351	3108
303	1355	3102
304	1358	3096
305	1362	3090
306	1366	3084
307	1369	3077
308	1373	3071
309	1377	3065
310	1381	3060
311	1385	3055
312	1389	3048
313	1392	3042
314	1396	3036
315	1400	3030
316	1403	3024
317	1407	3018
318	1411	3013
319	1416	3009
320	1419	3003
321	1423	2997
322	1427	2990
323	1430	2984
324	1434	2978
325	1437	2972
326	1441	2967
327	1446	2963
328	1450	2957
329	1454	2952
330	1457	2946
331	1461	2940
332	1465	2934
333	1469	2929
334	1472	2923
335	1477	2919
336	1481	2913
337	1484	2908
338	1488	2903
339	1492	2897
340	1496	2892
341	1500	2886
342	1504	2881
343	1508	2876
344	1512	2871
345	1516	2865
346	1519	2859
347	1523	2854
348	1527	2848
349	1530	2843
350	1534	2837
351	1538	2831
352	1541	2825
353	1545	2820
354	1549	2815
355	1553	2810
356	1557	2804
357	1561	2799
358	1564	2794
359	1568	2789
360	1572	2783
361	1576	2778
362	1580	2772
363	1583	2767
364	1587	2761
365	1591	2756
366	1595	2751
367	1597	2744
368	1601	2738
369	1605	2733
370	1608	2727
371	1612	2722
372	1616	2717
373	1620	2711
374	1624	2707
375	1629	2704
376	1633	2698
377	1636	2693
378	1640	2688
379	1644	2683
380	1648	2678
381	1652	2672
382	1656	2668
383	1660	2663
384	1663	2657
385	1667	2652
386	1671	2646
387	1675	2643
388	1679	2638
389	1683	2632
390	1687	2628
391	1691	2622
392	1694	2617
393	1698	2611
394	1701	2606
395	1705	2601
396	1709	2596
397	1713	2591
398	1716	2586
399	1720	2580
400	1724	2575
401	1727	2570
402	1732	2567
403	1736	2562
404	1740	2556
405	1744	2551
406	1748	2547
407	1752	2542
408	1755	2537
409	1759	2531
410	1763	2526
411	1766	2521
412	1770	2516
413	1774	2512
414	1778	2507
415	1782	2502
416	1785	2496
417	1789	2491
418	1793	2486
419	1797	2481
420	1800	2476
421	1804	2471
422	1809	2467
423	1812	2462
424	1816	2457
425	1820	2452
426	1824	2447
427	1827	2442
428	1831	2437
429	1835	2432
430	1839	2428
431	1843	2423
432	1847	2419
433	1851	2414
434	1855	2409
435	1859	2404
436	1862	2399
437	1866	2394
438	1870	2390
439	1874	2385
440	1878	2380
441	1881	2375
442	1885	2370
443	1889	2365
444	1892	2360
445	1896	2355
446	1900	2351
447	1904	2346
448	1908	2341
449	1911	2336
450	1915	2331
451	1919	2326
452	1922	2321
453	1926	2316
454	1930	2312
455	1934	2307
456	1937	2302
457	1941	2297
458	1945	2293
459	1949	2288
460	1953	2283
461	1957	2279
462	1961	2274
463	1965	2270
464	1968	2265
465	1972	2260
466	1976	2255
467	1979	2250
468	1983	2245
469	1987	2241
470	1991	2236
471	1994	2231
472	1998	2226
473	2002	2221
474	2005	2217
475	2009	2212
476	2013	2207
477	2017	2202
478	2022	2199
479	2026	2194
480	2029	2190
481	2033	2185
482	2037	2181
483	2041	2176
484	2045	2171
485	2049	2167
486	2052	2162
487	2056	2157
488	2060	2152
489	2064	2148
490	2068	2143
491	2071	2139
492	2075	2134
493	2079	2130
494	2083	2125
495	2087	2120
496	2090	2116
497	2094	2111
498	2098	2106
499	2101	2101
500	2105	2097
501	2109	2092
502	2112	2087
503	2116	2082
504	2120	2078
505	2124	2073
506	2128	2069
507	2132	2064
508	2135	2060
509	2139	2055
510	2143	2051
511	2147	2046
512	2150	2041
513	2154	2037
514	2158	2032
515	2162	2027
516	2165	2023
517	2170	2019
518	2174	2015
519	2178	2010
520	2181	2005
521	2185	2001
522	2189	1996
523	2192	1991
524	2196	1987
525	2200	1983
526	2204	1978
527	2208	1974
528	2212	1969
529	2216	1965
530	2220	1961
531	2224	1956
532	2228	1952
533	2233	1948
534	2237	1944
535	2241	1940
536	2244	1935
537	2248	1930
538	2252	1926
539	2255	1921
540	2260	1917
541	2264	1913
542	2268	1909
543	2272	1904
544	2276	1900
545	2280	1896
546	2283	1891
547	2287	1887
548	2291	1882
549	2295	1878
550	2299	1873
551	2302	1869
552	2307	1865
553	2311	1860
554	2315	1856
555	2319	1851
556	2323	1848
557	2327	1843
558	2332	1839
559	2336	1835
560	2340	1831
561	2343	1826
562	2347	1822
563	2352	1818
564	2356	1814
565	2360	1809
566	2363	1805
567	2367	1800
568	2371	1796
569	2375	1791
570	2378	1787
571	2383	1783
572	2388	1779
573	2392	1775
574	2396	1771
575	2399	1766
576	2403	1762
577	2407	1757
578	2411	1753
579	2416	1749
580	2420	1745
581	2424	1741
582	2429	1737
583	2434	1734
584	2438	1729
585	2442	1725
586	2446	1721
587	2450	1717
588	2454	1712
589	2458	1708
590	2462	1704
591	2466	1700
592	2470	1695
593	2474	1691
594	2478	1686
595	2481	1682
596	2486	1678
597	2490	1673
598	2494	1670
599	2498	1665
600	2502	1661
601	2507	1657
602	2511	1653
603	2515	1649
604	2519	1644
605	2523	1640
606	2527	1636
607	2531	1632
608	2535	1627
609	2539	1623
610	2543	1619
611	2547	1614
612	2550	1610
613	2554	1605
614	2558	1601
615	2562	1597
616	2566	1593
617	2570	1588
618	2574	1584
619	2578	1580
620	2582	1576
621	2587	1572
622	2591	1567
623	2595	1563
624	2599	1559
625	2603	1555
626	2607	1550
627	2611	1546
628	2615	1542
629	2618	1538
630	2623	1534
631	2627	1530
632	2631	1525
633	2635	1521
634	2639	1517
635	2643	1512
636	2646	1508
637	2650	1503
638	2654	1499
639	2658	1495
640	2662	1491
641	2666	1487
642	2670	1482
643	2675	1479
644	2680	1475
645	2685	1471
646	2689	1467
647	2693	1462
648	2697	1458
649	2701	1454
650	2705	1450
651	2710	1446
652	2714	1442
653	2720	1439
654	2728	1437
655	2735	1434
656	2745	1433
657	2757	1433
658	2764	1430
659	2771	1427
660	2776	1424
661	2780	1419
662	2784	1415
663	2788	1411
664	2803	1412
665	2808	1408
666	2813	1404
667	2817	1400
668	2823	1397
669	2828	1393
670	2832	1388
671	2837	1384
672	2841	1380
673	2845	1376
674	2849	1372
675	2853	1367
676	2857	1363
677	2861	1358
678	2864	1354
679	2868	1349
680	2872	1345
681	2876	1341
682	2880	1336
683	2884	1332
684	2888	1328
685	2892	1324
686	2897	1320
687	2901	1315
688	2905	1311
689	2909	1307
